ANO,CONTO,GÊNERO,ORDEM,AUTOR,CÓDIGO PT,COM OU SEM TRADUÇÃO,Brazilian Tales,A Chapter of Hats,The Alienist,The Alienist and other stories,Midnight Mass & Other Stories,Ex-Cathedra,Miss Dolar,Trio in A-Minor,The Collected Stories of Machado de Assis,26 Stories,The Devil's Church and Other Stories,The Devil’s Church
1875,Quem Boa Cama Faz... (1875),CO,68,MA,CO068MA,,,,,,,,,,,,,
1875,Um Esqueleto (1875),CO,69,MA,CO069MA,,,,,,,,,,,,,
1875,Valério (1875),CO,70,MA,CO070MA,,,,,,,,,,,,,
1876,"Casa, Não Casa... (1876)",CO,71,MA,CO071MA,,,,,,,,,,,,,
1876,Dona Mônica (1876),CO,72,MA,CO072MA,,,,,,,,,,,,,
1876,Encher Tempo (1876),CO,73,MA,CO073MA,,,,,,,,,,,,,
1876,História de uma Fita Azul (1876),CO,74,MA,CO074MA,,,,,,,,,,,,,
1876,Longe dos Olhos... (1876),CO,75,MA,CO075MA,,,,,,,,,,,,,
1876,"O Passado, Passado (1876)",CO,76,MA,CO076MA,,,,,,,,,,,,,
1876,To Be or Not To Be (1876),CO,77,MA,CO077MA,,,,,,,,,,,,,
1876,Uma Visita de Alcibíades (1876),CO,78,MA,CO078MA,Yes,,,,,,CO078CL07,,,CO078CL10,CO078CL12,,
1877,A Melhor das Noivas (1877),CO,79,MA,CO079MA,,,,,,,,,,,,,
1877,O Astrólogo (1877),CO,80,MA,CO080MA,,,,,,,,,,,,,
1877,Sem Olhos (1877),CO,81,MA,CO081MA,,,,,,,,,,,,,
1877,Silvestre (1877),CO,82,MA,CO082MA,,,,,,,,,,,,,
1877,Um Almoço (1877),CO,83,MA,CO083MA,,,,,,,,,,,,,
1878,A Herança (1878),CO,84,MA,CO084MA,,,,,,,,,,,,,
1878,A Sonâmbula (1878),CO,85,MA,CO085MA,,,,,,,,,,,,,
1878,Antes da Missa (1878),CO,86,MA,CO086MA,,,,,,,,,,,,,
1878,Conversão de um Avaro (1878),CO,87,MA,CO087MA,,,,,,,,,,,,,
1878,Dívida Extinta (1878),CO,88,MA,CO088MA,,,,,,,,,,,,,
1878,Elogio da Vaidade (1878),CO,89,MA,CO089MA,,,,,,,,,,,,,
1878,Filosofia de um Par de Botas (1878),CO,90,MA,CO090MA,,,,,,,,,,,,,
1878,Folha Rota (1878),CO,91,MA,CO091MA,,,,,,,,,,,,,
1878,Na Arca (1878),CO,92,MA,CO092MA,Yes,,,,,,,,,CO092CL10,,,
1878,O Bote de Rapé (1878),CO,93,MA,CO093MA,,,,,,,,,,,,,
1878,O Califa de Platina (1878),CO,94,MA,CO094MA,,,,,,,,,,,,,
1878,O Caso Ferrari (1878),CO,95,MA,CO095MA,,,,,,,,,,,,,
1878,O Machete (1878),CO,96,MA,CO096MA,Yes,,,,,CO096CL08,,,,,,,
1878,Um Ambicioso (1878),CO,97,MA,CO097MA,,,,,,,,,,,,,
1878,Um Cão de Lata ao Rabo (1878),CO,98,MA,CO098MA,,,,,,,,,,,,,
1879,Curiosidade (1879),CO,99,MA,CO099MA,,,,,,,,,,,,,
1879,Um Para o Outro (1879),CO,100,MA,CO100MA,,,,,,,,,,,,,
1880,A Chave (1880),CO,101,MA,CO101MA,,,,,,,,,,,,,
1881,A Mulher Pálida (1881),CO,102,MA,CO102MA,Yes,,,,,CO102CL08,,,,,,,
1881,O Caso da Viúva (1881),CO,103,MA,CO103MA,,,,,,,,,,,,,
1881,O Empréstimo (1881),CO,104,MA,CO104MA,Yes,,,,,,CO104CL07,,,CO104CL10,,,
1881,Teoria do Medalhão (1881),CO,105,MA,CO105MA,Yes,,,,CO105CL06,,,,,CO105CL10,CO105CL12,,
1882,A Sereníssima República (1882),CO,106,MA,CO106MA,Yes,,,,,,,,,CO106CL10,CO106CL12,,
